District,Commodity,Arrival_Date,Modal_Price,min_price_zero_flag,is_outlier_iqr,records_aggregated,Year,Month,DayOfWeek,WeekOfYear,Quarter,lag_1,lag_3,lag_7,lag_14,lag_21,lag_30,rolling_mean_7,rolling_mean_30,rolling_std_7,rolling_std_30,days_since_last_observation,month_sin,month_cos,dow_sin,dow_cos,price_change_1d,price_change_7d,price_change_30d
Nagapattinam,Mint(Pudina),2026-06-15,4250.0,False,False,3.0,2026.0,6.0,0.0,25.0,2.0,4250.0,4250.0,4250.0,4250.0,4250.0,4250.0,4250.0,4216.666666666667,0.0,108.54312136382627,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.0
Ariyalur,Tomato,2026-06-15,4750.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,4875.0,4500.0,4700.0,3825.0,4125.0,3700.0,4632.142857142857,4165.0,128.86870394771373,307.28230309131914,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.02564102564102564,0.010638297872340425,0.28378378378378377
Thirunelveli,Bhindi(Ladies Finger),2026-06-15,2400.0,False,False,5.0,2026.0,6.0,0.0,25.0,2.0,2600.0,2600.0,1800.0,1500.0,1900.0,2100.0,2407.1428571428573,2111.6666666666665,327.1449365706453,339.79794537071655,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.07692307692307693,0.3333333333333333,0.14285714285714285
Vellore,Bitter Gourd,2026-06-15,4750.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,5500.0,4375.0,4000.0,3750.0,3250.0,3600.0,4446.428571428572,3840.8333333333335,567.6025185352964,533.6715432660341,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.13636363636363635,0.1875,0.3194444444444444
Virudhunagar,Banana - Green,2026-06-15,3250.0,False,False,7.0,2026.0,6.0,0.0,25.0,2.0,3200.0,3250.0,3250.0,3250.0,3250.0,3250.0,3242.8571428571427,3241.6666666666665,18.89822365046132,18.952451089579224,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.015625,0.0,0.0
Kancheepuram,Tomato,2026-06-15,3250.0,False,False,1.0,2026.0,6.0,0.0,25.0,2.0,3750.0,,2750.0,3550.0,3875.0,3500.0,3375.0,3474.137931034483,737.3940601876291,448.1351617009346,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.13333333333333333,0.18181818181818182,-0.07142857142857142
Kanyakumari,Banana - Green,2026-06-15,4750.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,4750.0,4750.0,4750.0,4750.0,4750.0,4750.0,4821.428571428572,4812.5,121.98750911859439,117.21443655938197,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.0
Kanyakumari,Bhindi(Ladies Finger),2026-06-15,3750.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,4250.0,4650.0,2800.0,2600.0,2600.0,3250.0,3907.1428571428573,3273.3333333333335,672.32715959109,583.7945631418916,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.11764705882352941,0.3392857142857143,0.15384615384615385
Kallakuruchi,Bhindi(Ladies Finger),2026-06-15,4000.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,4000.0,4000.0,2500.0,3000.0,3000.0,3000.0,3142.8571428571427,2923.3333333333335,801.7837257372737,477.553631819887,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.5,0.3333333333333333
Villupuram,Tomato,2026-06-15,4000.0,False,False,3.0,2026.0,6.0,0.0,25.0,2.0,4000.0,3750.0,4000.0,3600.0,3500.0,3500.0,3978.5714285714284,3725.8333333333335,134.9603116263664,224.6149323088024,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.14285714285714285
Kanyakumari,Bitter Gourd,2026-06-15,4850.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,4600.0,4600.0,4850.0,5250.0,5625.0,5250.0,4807.142857142857,5135.833333333333,214.91969707422658,328.83567674270495,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.05434782608695652,0.0,-0.0761904761904762
Villupuram,Pumpkin,2026-06-15,2000.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,6.787625903302991e-05,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.0
Kanyakumari,Cabbage,2026-06-15,5250.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,5000.0,5000.0,5250.0,4750.0,4750.0,3400.0,5142.857142857143,4617.5,133.6306209562015,558.521369948948,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.05,0.0,0.5441176470588235
Kancheepuram,Pumpkin,2026-06-15,2000.0,False,False,3.0,2026.0,6.0,0.0,25.0,2.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2050.0,0.0,121.05854952788981,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.0
Kanyakumari,Coconut,2026-06-15,4800.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,4750.0,4750.0,4850.0,4850.0,4850.0,4875.0,4821.428571428572,4841.666666666667,69.86381310062562,106.74117369083018,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.010526315789473684,-0.010309278350515464,-0.015384615384615385
